School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,005,Amherst County,770,Central Elementary,Mathematics,SOL,66.89,005,VA-005-0050770
2017-2018,005,Amherst County,770,Central Elementary,English:Reading,SOL,67.57,005,VA-005-0050770
2017-2018,005,Amherst County,770,Central Elementary,History and Social Science,SOL,74.36,005,VA-005-0050770
2017-2018,005,Amherst County,770,Central Elementary,Science,SOL,75.47,005,VA-005-0050770
2017-2018,005,Amherst County,780,Amelon Elementary,Mathematics,SOL,66.98,005,VA-005-0050780
2017-2018,005,Amherst County,780,Amelon Elementary,English:Reading,SOL,72.51,005,VA-005-0050780
2017-2018,005,Amherst County,780,Amelon Elementary,Science,SOL,83.56,005,VA-005-0050780
2017-2018,005,Amherst County,780,Amelon Elementary,History and Social Science,SOL,89.74,005,VA-005-0050780
2017-2018,005,Amherst County,790,Amherst Elementary,Mathematics,SOL,66.87,005,VA-005-0050790
2017-2018,005,Amherst County,790,Amherst Elementary,Science,SOL,73.33,005,VA-005-0050790
2017-2018,005,Amherst County,790,Amherst Elementary,English:Reading,SOL,75.31,005,VA-005-0050790
2017-2018,005,Amherst County,790,Amherst Elementary,History and Social Science,SOL,86.89,005,VA-005-0050790
2017-2018,006,Appomattox County,110,Appomattox Elementary,Mathematics,SOL,73.26,006,VA-006-0060110
2017-2018,006,Appomattox County,110,Appomattox Elementary,English:Reading,SOL,75.78,006,VA-006-0060110
2017-2018,006,Appomattox County,110,Appomattox Elementary,Science,SOL,77.46,006,VA-006-0060110
2017-2018,006,Appomattox County,110,Appomattox Elementary,History and Social Science,SOL,83.52,006,VA-006-0060110
2017-2018,006,Appomattox County,160,Appomattox Middle,English:Writing,SOL,79.27,006,VA-006-0060160
2017-2018,006,Appomattox County,160,Appomattox Middle,Mathematics,SOL,85.56,006,VA-006-0060160
2017-2018,006,Appomattox County,160,Appomattox Middle,Science,SOL,85.98,006,VA-006-0060160
2017-2018,006,Appomattox County,160,Appomattox Middle,English:Reading,SOL,86.24,006,VA-006-0060160
2017-2018,006,Appomattox County,160,Appomattox Middle,History and Social Science,SOL,95.57,006,VA-006-0060160
2017-2018,006,Appomattox County,260,Appomattox County High,Science,SOL,81.28,006,VA-006-0060260
2017-2018,006,Appomattox County,260,Appomattox County High,English:Reading,SOL,83.82,006,VA-006-0060260
2017-2018,006,Appomattox County,260,Appomattox County High,History and Social Science,SOL,87.04,006,VA-006-0060260
2017-2018,006,Appomattox County,260,Appomattox County High,English:Writing,SOL,88.59,006,VA-006-0060260
2017-2018,006,Appomattox County,260,Appomattox County High,Mathematics,SOL,93.65,006,VA-006-0060260
2017-2018,007,Arlington County,80,Washington-Lee High,Mathematics,SOL,80.54,007,VA-007-0070080
2017-2018,007,Arlington County,80,Washington-Lee High,History and Social Science,SOL,83.49,007,VA-007-0070080
2017-2018,007,Arlington County,80,Washington-Lee High,Science,SOL,86.19,007,VA-007-0070080
2017-2018,007,Arlington County,80,Washington-Lee High,English:Reading,SOL,86.28,007,VA-007-0070080
2017-2018,007,Arlington County,80,Washington-Lee High,English:Writing,SOL,87.56,007,VA-007-0070080
2017-2018,007,Arlington County,90,Carlin Springs Elementary,History and Social Science,SOL,57.95,007,VA-007-0070090
2017-2018,007,Arlington County,90,Carlin Springs Elementary,English:Reading,SOL,63.2,007,VA-007-0070090
2017-2018,007,Arlington County,90,Carlin Springs Elementary,Science,SOL,63.92,007,VA-007-0070090
2017-2018,007,Arlington County,90,Carlin Springs Elementary,Mathematics,SOL,67.16,007,VA-007-0070090
2017-2018,007,Arlington County,100,Glebe Elementary,Science,SOL,85.05,007,VA-007-0070100
2017-2018,007,Arlington County,100,Glebe Elementary,English:Reading,SOL,91,007,VA-007-0070100
2017-2018,007,Arlington County,100,Glebe Elementary,Mathematics,SOL,92.36,007,VA-007-0070100
2017-2018,007,Arlington County,100,Glebe Elementary,History and Social Science,SOL,95.24,007,VA-007-0070100
2017-2018,007,Arlington County,111,Francis Scott Key Elementary,English:Reading,SOL,78.83,007,VA-007-0070111
2017-2018,007,Arlington County,111,Francis Scott Key Elementary,Mathematics,SOL,80.19,007,VA-007-0070111
2017-2018,007,Arlington County,111,Francis Scott Key Elementary,Science,SOL,84.88,007,VA-007-0070111
2017-2018,007,Arlington County,111,Francis Scott Key Elementary,History and Social Science,SOL,93.24,007,VA-007-0070111
2017-2018,007,Arlington County,150,Barcroft Elementary,English:Reading,SOL,63,007,VA-007-0070150
2017-2018,007,Arlington County,150,Barcroft Elementary,Mathematics,SOL,68.32,007,VA-007-0070150
