ID,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
510009000000,0,0.05,0,0.11,0.11,0.65,0.09,0.11,0.01,0.09
510009000000,0,0.04,0,0.37,0.08,0.47,0.05,0.11,0.01,0.29
510009000000,0,0,0,0.09,0.04,0.72,0.15,0.49,0.15,0.04
510009000000,0,0,0,0,0.23,0.69,0.09,0.1,0.02,0
510009000000,0,0,0,0.45,0.41,0.12,0.03,0.28,0,0.28
510009000000,0,0,0,0,0.06,0.94,0,0.42,0,0
510009000000,0,0,0,0,0.2,0.8,0,0.4,0,0
510010000000,0,0,0,0,0.47,0.53,0,0.27,0,0
510010000000,0,0,0,0,0.53,0.36,0.11,0.11,0.06,0
510010000000,0.04,0,0,0.08,0.15,0.58,0.15,0.15,0,0
510010000000,0,0,0,0,0.04,0.96,0,0.3,0.02,0
510012000000,0,0.02,0.01,0.24,0.16,0.52,0.05,0.15,0.03,0.18
510012000000,0,0.03,0,0.19,0.21,0.52,0.04,0.1,0.08,0.16
510012000000,0,0.01,0,0.33,0.06,0.58,0.02,0.08,0.04,0.25
510012000000,0.01,0.05,0.01,0.32,0.36,0.22,0.03,0.09,0,0.38
510012000000,0,0.02,0,0.21,0.62,0.13,0.02,0.19,0.02,0.13
510012000000,0,0.09,0,0.35,0.35,0.18,0.02,0.15,0.01,0.45
510012000000,0,0.02,0.01,0.08,0.32,0.54,0.03,0.09,0.04,0.1
510012000000,0,0.02,0,0.09,0.29,0.57,0.04,0.09,0.01,0.05
510012000000,0,0.02,0,0.57,0.06,0.33,0.03,0.08,0.02,0.44
510012000000,0,0.06,0,0.3,0.5,0.11,0.02,0.1,0.01,0.34
510012000000,0,0.05,0,0.39,0.32,0.21,0.02,0.1,0.04,0.24
510012000000,0.01,0.07,0,0.55,0.25,0.1,0.01,0.05,0,0.64
510012000000,0,0.01,0,0.69,0.22,0.07,0.01,0.15,0,0.55
510189000000,0,0.23,0,0.05,0.08,0.59,0.04,0.07,0.02,0.01
510189000000,0,0.1,0,0.05,0.18,0.62,0.04,0.09,0.01,0.01
510189000000,0,0,0,0.2,0.2,0.4,0.2,0,0,0
